甲烷	190.6	4.6	0.008
乙烷	305.4	4.884	0.098
丙烷	369.8	4.246	0.152
正丁烷	425.2	3.8	0.193
异丁烷	408.1	3.648	0.176	
溴	584	10.335	0.132
氯	417	7.701	0.073
氦-4	5.19	0.227	-0.387
氢	33.2	1.297	-0.22
氪	209.4	5.502	-0.002
氖	44.4	2.756	0
氮	126.2	3.394	0.04
氧	154.6	5.046	0.021
氙	289.7	5.836	0.002
氨	405.6	11.277	0.25
二氧化碳	304.2	7.376	0.225
二硫化碳	552	7.903	0.115
一氧化碳	132.9	3.496	0.049
四氯化碳	556.4	4.56	0.194
氯仿	536.4	5.472	0.216
肼	653	14.692	0.328
氯化氢	324.6	8.309	0.12
氰化氢	456.8	5.39	0.407
硫化氢	373.2	8.937	0.1
一氧化氮	180	6.485	0.607
一氧化二氮	309.6	7.245	0.16
硫	1314	11.753	0.07
二氧化硫	430.8	7.883	0.251
三氧化硫	491	8.207	0.41
水	647.3	22.048	0.344
